7 1 9.684384518e+03 1.314287513e+00 2.704495023e-03 2.359070912e-03 9.684544004e+03 1.603498944e+00 1.562310420e-03 1.233766547e-03 9.681962930e+03 9.684283346e+03 9.676926985e+03
7 2 9.685394250e+03 1.174628137e+00 2.589147571e-03 2.388947493e-03 9.685563280e+03 1.453054001e+00 1.460065359e-03 1.211243389e-03 9.688672800e+03 9.686778926e+03 9.678312150e+03
7 3 9.684726925e+03 1.168897612e+00 2.563752907e-03 2.371307802e-03 9.684861218e+03 1.222982031e+00 1.412869429e-03 1.277591431e-03 9.635054382e+03 9.686579387e+03 9.676677118e+03
7 4 9.685079647e+03 1.218083438e+00 2.591945335e-03 2.348482448e-03 9.685266105e+03 1.220526579e+00 1.393366489e-03 1.261222589e-03 9.654922737e+03 9.687941794e+03 9.678335447e+03
7 6 9.685034508e+03 1.159574660e+00 2.541241071e-03 2.359915798e-03 9.685139229e+03 1.204341252e+00 1.407230220e-03 1.282302154e-03 9.684388174e+03 9.684242429e+03 9.676693162e+03
7 7 9.684831270e+03 1.142084436e+00 2.561859596e-03 2.397210756e-03 9.685032857e+03 1.307777706e+00 1.476119511e-03 1.290786920e-03 9.683265284e+03 9.685539687e+03 9.678300686e+03
7 8 9.685087123e+03 1.162324384e+00 2.540684407e-03 2.356606373e-03 9.685229246e+03 1.276945303e+00 1.409271520e-03 1.247120815e-03 9.680227733e+03 9.686109306e+03 9.678332921e+03
7 9 9.685063851e+03 1.121520560e+00 2.572866855e-03 2.429482038e-03 9.685214633e+03 1.200994479e+00 1.439070298e-03 1.313141432e-03 9.684187723e+03 9.687634776e+03 9.676685550e+03
7 11 9.685296895e+03 1.213271850e+00 2.566781811e-03 2.330289576e-03 9.685466972e+03 1.498798074e+00 1.438753035e-03 1.175207866e-03 9.682592311e+03 9.686895516e+03 9.678326944e+03
7 12 9.685518535e+03 1.150817368e+00 2.569753855e-03 2.395456686e-03 9.685686484e+03 1.473539977e+00 1.483711155e-03 1.222273513e-03 9.688007204e+03 9.686478866e+03 9.678295579e+03
7 13 9.684815002e+03 1.086582304e+00 2.509101102e-03 2.407059619e-03 9.684989253e+03 1.121701537e+00 1.374351601e-03 1.297654852e-03 9.660437409e+03 9.684743392e+03 9.678334184e+03
7 14 9.685264802e+03 1.166715338e+00 2.540309210e-03 2.351820270e-03 9.685392724e+03 1.352024444e+00 1.381576310e-03 1.188181007e-03 9.684283308e+03 9.687301688e+03 9.678339806e+03
